id:int	labels:label	type	flags:string_array	lineno:int	code	childnum:int	funcid:int	classname	namespace	endlineno:int	name	doccomment
1191	AST	NULL		71		0	1186	base	""			
1192	AST	string		71	"string"	1	1186	base	""			
1193	AST	NULL		71		2	1186	base	""			
1194	AST	NULL		71		1	1186	base	""			
1195	AST	AST_STMT_LIST		71		2	1186	base	""			
1196	AST	AST_IF		72		0	1186	base	""			
1197	AST	AST_IF_ELEM		72		0	1186	base	""			
1198	AST	AST_UNARY_OP	UNARY_BOOL_NOT	72		0	1186	base	""			
1199	AST	AST_ISSET		72		0	1186	base	""			
1200	AST	AST_DIM		72		0	1186	base	""			
1201	AST	AST_VAR		72		0	1186	base	""			
1202	AST	string		72	"_GET"	0	1186	base	""			
1203	AST	AST_VAR		72		1	1186	base	""			
1204	AST	string		72	"string"	0	1186	base	""			
1205	AST	AST_STMT_LIST		73		1	1186	base	""			
1206	AST	AST_RETURN		74		0	1186	base	""			
1207	AST	AST_CONST		74		0	1186	base	""			
1208	AST	AST_NAME	NAME_NOT_FQ	74		0	1186	base	""			
1209	AST	string		74	"null"	0	1186	base	""			
1210	AST	AST_IF		76		1	1186	base	""			
1211	AST	AST_IF_ELEM		76		0	1186	base	""			
1212	AST	AST_UNARY_OP	UNARY_BOOL_NOT	76		0	1186	base	""			
1213	AST	AST_CALL		76		0	1186	base	""			
1214	AST	AST_NAME	NAME_NOT_FQ	76		0	1186	base	""			
1215	AST	string		76	"is_array"	0	1186	base	""			
1216	AST	AST_ARG_LIST		76		1	1186	base	""			
1217	AST	AST_DIM		76		0	1186	base	""			
1218	AST	AST_VAR		76		0	1186	base	""			
1219	AST	string		76	"_GET"	0	1186	base	""			
1220	AST	AST_VAR		76		1	1186	base	""			
1221	AST	string		76	"string"	0	1186	base	""			
1222	AST	AST_STMT_LIST		77		1	1186	base	""			
1223	AST	AST_RETURN		78		0	1186	base	""			
1224	AST	AST_CALL		78		0	1186	base	""			
1225	AST	AST_NAME	NAME_NOT_FQ	78		0	1186	base	""			
1226	AST	string		78	"trim"	0	1186	base	""			
1227	AST	AST_ARG_LIST		78		1	1186	base	""			
1228	AST	AST_DIM		78		0	1186	base	""			
1229	AST	AST_VAR		78		0	1186	base	""			
1230	AST	string		78	"_GET"	0	1186	base	""			
1231	AST	AST_VAR		78		1	1186	base	""			
1232	AST	string		78	"string"	0	1186	base	""			
1233	AST	AST_RETURN		80		2	1186	base	""			
1234	AST	AST_CONST		80		0	1186	base	""			
1235	AST	AST_NAME	NAME_NOT_FQ	80		0	1186	base	""			
1236	AST	string		80	"null"	0	1186	base	""			
1237	AST	NULL		71		3	1186	base	""			
1238	AST	AST_METHOD	MODIFIER_PUBLIC,MODIFIER_STATIC	83		6	958	base	""	96	post	
1239	Artificial	CFG_FUNC_ENTRY					1238	base	""		"post"	
1240	Artificial	CFG_FUNC_EXIT					1238	base	""		"post"	
1241	AST	AST_PARAM_LIST		83		0	1238	base	""			
1242	AST	AST_PARAM		83		0	1238	base	""			
1243	AST	NULL		83		0	1238	base	""			
1244	AST	string		83	"string"	1	1238	base	""			
1245	AST	NULL		83		2	1238	base	""			
1246	AST	NULL		83		1	1238	base	""			
1247	AST	AST_STMT_LIST		83		2	1238	base	""			
1248	AST	AST_IF		84		0	1238	base	""			
1249	AST	AST_IF_ELEM		84		0	1238	base	""			
1250	AST	AST_UNARY_OP	UNARY_BOOL_NOT	84		0	1238	base	""			
1251	AST	AST_ISSET		84		0	1238	base	""			
1252	AST	AST_DIM		84		0	1238	base	""			
1253	AST	AST_VAR		84		0	1238	base	""			
1254	AST	string		84	"_POST"	0	1238	base	""			
1255	AST	AST_VAR		84		1	1238	base	""			
1256	AST	string		84	"string"	0	1238	base	""			
1257	AST	AST_STMT_LIST		85		1	1238	base	""			
1258	AST	AST_RETURN		86		0	1238	base	""			
1259	AST	AST_CONST		86		0	1238	base	""			
1260	AST	AST_NAME	NAME_NOT_FQ	86		0	1238	base	""			
1261	AST	string		86	"null"	0	1238	base	""			
1262	AST	AST_IF		88		1	1238	base	""			
1263	AST	AST_IF_ELEM		88		0	1238	base	""			
1264	AST	AST_UNARY_OP	UNARY_BOOL_NOT	88		0	1238	base	""			
1265	AST	AST_CALL		88		0	1238	base	""			
1266	AST	AST_NAME	NAME_NOT_FQ	88		0	1238	base	""			
1267	AST	string		88	"is_array"	0	1238	base	""			
1268	AST	AST_ARG_LIST		88		1	1238	base	""			
